match,sku,titulo,departamento,categoria,preco,preco_oferta,meta_fabricante,cor,meta_tamanho,mpn,gtin,meta_peso,meta_volume,meta_genero
29346,8051366T,Camisa Adidas Palmeiras I - 2013 - s/n - Infantil - Cor: Verde/Branco,Vestuario,Futebol,89.9,85.41,Adidas,VERDE/BRANCO,,,,0,0,
29347,8021114D,Camisa Adidas Squadra 13 - Masculina - Cor: PRETO/MARROM,Vestuario,Futebol,49.9,47.41,Adidas,Preto/Marrom,,,,0,0,M
29352,810042D1,Camisa Nike Arsenal Away - Masculina - Cor: Amarelo/Azul,Vestuario,Futebol,0,0,Nike,AMARELO/AZUL,,,,0,0,M
29353,804577WY,Camisa Nike Corinthians Home - Infantil Com Patch FIFA - Cor: MARROM CLA/PRETO,Vestuario,Futebol,169.9,161.41,Nike,Marrom Cla/Preto,,,,0,0,
29355,81006852,Camisa Nike Inter de Milão Away – Masculina - Cor: Branco/Azul,Vestuario,Futebol,149.9,142.41,Nike,Branco/Azul,,,,0,0,M
29410,811354J4,Chuteira de campo Adidas F10 TRX SG - Cor: Laranja Esc/Preto,Calcados,Rugby,0,0,Adidas,LARANJA ESC/PRETO,,,,0,0,
29414,80880983,Chuteira de Campo Nike Hypervenom Phade FG R Infantil - Cor: Cinza Escuro,Calcados,Futebol,99.9,94.91,Nike,Cinza Escuro,,,,0,0,
29436,80656583,Jaqueta Nike Corinthians Covert Com Capuz - Masculino - Cor: CINZA ESCURO,Vestuario,Futebol,219.9,208.91,Nike,Cinza Escuro,,,,0,0,M
29438,80213408,Jaqueta Puma It King Track 653604 - Unissex - Cor: AMARELO,Vestuario,Futebol,129.9,123.41,Puma,AMARELO,,,,0,0,
29446,8103362V,Mini Bola de Futebol de Campo Nike Manchester United Skills - Infantil - Cor: Vermelho/Preto,Acessorios,Futebol,39.9,37.91,Nike,VERMELHO/PRETO,,,,0,0,
29453,797242I3,Mochila Nike CR7 Cheyenne Classic - Cor: AZUL ESC/VERDE CLA,Acessorios,Futebol,299.9,284.91,Nike,Azul Esc/Verde Cla,,,,0,0,
29491,81527718,Tênis Adidas Adizero Boston 4 – Feminino - Cor: Roxo,Calcados,Running Performance,199.9,189.91,Adidas,Roxo,,,,0,0,F
29501,800260CT,Tênis Adidas Climacool Xtreme - Masculino - Cor: Preto/Verde Cla,Calcados,Training,219.9,208.91,Adidas,Preto/Verde Cla,,,,0,0,M
29512,813327J4,Tênis Adidas F50 Adizero CF - Infantil - Cor: Laranja Esc/Preto,Calcados,Casual,119.9,113.91,Adidas,LARANJA ESC/PRETO,,,,0,0,
